[CMD] /Users/parkcart/workspace/occlusion-cbf/.venv/bin/python3 tools/benchmark_crowd_trials.py --scenario crowd2 --baseline oacp_mpc --model di --seed 42 --idx-start 1 --idx-end 100 --n-rand 50 --tf 500.0 --crowd-mode forced_emergence --forced-events 6 --forced-hidden-speed 1.0 --workers 10
[RUN] scenario=crowd2 label=oacp_mpc baseline=oacp_mpc pos=oacp_mpc model=di seed=42 idx=1..100 n_rand=50 tf=500.0 wmax=default oa_allow_solver_fallback=None oa_dynamic_occluders=None oa_dsafe=None oa_visible_reach_mode=None oa_use_nominal_tracking_cost=None oa_dt=None occ_version=None occ_visible_scale=None occ_enable_visible_hocbf=False crowd_mode=forced_emergence
[RUN] show_animation=False, save_animation=False
[057/100] idx= 52 -> success    (raw=success, compute_ms=627.5959007082326, intv=0.20508026649798222)
[058/100] idx= 64 -> infeasible (raw=infeasible, compute_ms=625.290757014255, intv=0.4573916529936207)
[059/100] idx= 53 -> success    (raw=success, compute_ms=624.4152476646314, intv=0.27212626200757145)
[060/100] idx= 50 -> success    (raw=success, compute_ms=632.4894273404336, intv=0.3952104404711001)
[061/100] idx= 66 -> collision  (raw=collision, compute_ms=643.68730245373, intv=0.6274838979988948)
[062/100] idx= 63 -> infeasible (raw=infeasible, compute_ms=641.9100922686592, intv=0.38908239776035936)
[063/100] idx= 54 -> success    (raw=success, compute_ms=631.2074990515833, intv=0.24981826431906412)
[064/100] idx= 68 -> collision  (raw=collision, compute_ms=653.1628809378898, intv=0.6463884805894523)
[065/100] idx= 58 -> success    (raw=success, compute_ms=636.1089207045686, intv=0.18497008582777877)
[066/100] idx= 72 -> infeasible (raw=infeasible, compute_ms=660.3997058505364, intv=0.3780136049406801)
[067/100] idx= 61 -> collision  (raw=collision, compute_ms=654.5669332326912, intv=0.3662381916609432)
[068/100] idx= 67 -> success    (raw=success, compute_ms=644.7059928659683, intv=0.175362190473104)
[069/100] idx= 78 -> infeasible (raw=infeasible, compute_ms=548.8528561006979, intv=0.692816256453009)
[070/100] idx= 71 -> success    (raw=success, compute_ms=632.4832929214773, intv=0.24418872208084233)
[071/100] idx= 70 -> success    (raw=success, compute_ms=637.7681000251561, intv=0.3306422331274271)
[072/100] idx= 69 -> success    (raw=success, compute_ms=636.6632029480986, intv=0.29188148445749623)
[073/100] idx= 65 -> success    (raw=success, compute_ms=647.4822638919202, intv=0.44762842383894924)
[074/100] idx= 76 -> collision  (raw=collision, compute_ms=689.6085882394417, intv=0.28459743473334204)
[075/100] idx= 82 -> infeasible (raw=infeasible, compute_ms=939.9217858344797, intv=0.23979348671056502)
[076/100] idx= 74 -> success    (raw=success, compute_ms=690.525877042491, intv=0.34870171031312)
[077/100] idx= 73 -> success    (raw=success, compute_ms=695.4478343979509, intv=0.33032855452603105)
[078/100] idx= 75 -> success    (raw=success, compute_ms=706.5765838321075, intv=0.22272111275119555)
[079/100] idx= 77 -> collision  (raw=collision, compute_ms=803.7763924272159, intv=0.37578678186194203)
