method,method_label,model,n_rand,config_label,case_indices,warmup_steps_per_case,timed_steps_per_case,timed_step_samples,avg_compute_time_ms,case_compute_time_ms,case_wall_time_s
occlusion_cbf_terminal_relax,"Occlusion-CBF, relaxed terminal (ours)",di,10,DI-10,"1,2",10,50,100,1.6107862652279437,"[1.233786647208035, 1.9877858832478523]","[1.2152174999937415, 0.2318334998562932]"
occlusion_cbf_terminal_relax,"Occlusion-CBF, relaxed terminal (ours)",di,30,DI-30,"1,2",10,50,100,2.374451677314937,"[2.533184145577252, 2.2157192090526223]","[0.3041674161795527, 0.3019240000285208]"
occlusion_cbf_terminal_relax,"Occlusion-CBF, relaxed terminal (ours)",di,50,DI-50,"1,2",10,50,100,3.304268701467663,"[3.12949993647635, 3.4790374664589763]","[0.4059092500247061, 0.5103057909291238]"
